                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5637,                 5.5996,                 1.4595,                 0.8132,                0.15842,                0.16236,                0.10658,                 1.3267,                 4.3373,                 1.3266,                 0.0892,                 0.0012,                 0.0012
                      2,                 1.1221,                 1.2484,                 1.0868,                0.67886,                0.30693,                 0.3205,                0.18556,                 1.1041,                 1.2116,                 1.0111,               0.077451,              0.0024505,              0.0024505
                      3,                 1.0991,                0.88058,                 1.0607,                0.80563,                0.36634,                0.44543,                0.26015,                 1.1356,                 0.7577,                0.97106,                0.06565,              0.0036495,              0.0036495
                      4,                 1.1492,                0.93415,                 1.0245,                0.71015,                0.43667,                0.47186,                0.26713,                 1.3463,                0.92718,                0.94529,               0.053797,              0.0047971,              0.0047971
                      5,                 1.0338,                0.83952,                0.98564,                0.66755,                0.42574,                0.43932,                0.22964,                 1.4385,                0.84476,                0.97275,               0.041893,              0.0058931,              0.0058931
                      6,                 1.1068,                0.89559,                0.97962,                0.61824,                0.40594,                0.46639,                0.29365,                 1.2343,                0.97735,                0.94485,               0.029938,              0.0069377,              0.0069377
                      7,                 1.1059,                0.91987,                 0.9937,                0.66611,                0.46535,                0.47271,                0.24257,                 1.3744,                  1.041,                 0.9672,               0.017931,              0.0079308,              0.0079308
                      8,                 1.1279,                0.77704,                  1.021,                0.57685,                0.41584,                0.45826,                0.22557,                 1.5437,                0.89628,                0.97303,               0.008614,               0.008614,               0.008614
                      9,                 1.1488,                0.93683,                0.98169,                0.66292,                0.35644,                0.43341,                0.23003,                  1.384,                  1.128,                0.94066,               0.008416,               0.008416,               0.008416
                     10,                 1.1225,                0.83589,                0.96273,                0.61659,                0.38614,                0.46437,                0.29014,                 1.2886,                0.85788,                0.92785,               0.008218,               0.008218,               0.008218
                     11,                 1.0832,                0.70796,                0.98791,                0.61518,                0.48515,                0.47779,                0.23082,                  1.483,                0.95874,                0.99287,                0.00802,                0.00802,                0.00802
                     12,                 1.0856,                0.70371,                0.98563,                0.76918,                0.59406,                0.65057,                0.32013,                 1.3507,                0.81067,                0.97677,               0.007822,               0.007822,               0.007822
                     13,                  1.008,                0.73383,                  1.011,                 0.7576,                0.58416,                0.63835,                0.35369,                 1.2868,                0.81468,                0.99334,               0.007624,               0.007624,               0.007624
                     14,                 1.1327,                 0.6608,                0.96863,                0.53182,                0.41613,                0.44514,                0.21452,                 1.3701,                 0.9191,                0.96923,               0.007426,               0.007426,               0.007426
                     15,                 1.0371,                0.69355,                0.98388,                0.73454,                0.54455,                0.63107,                0.31433,                 1.3163,                0.73128,                0.97541,               0.007228,               0.007228,               0.007228
                     16,                 1.0883,                0.63742,                0.98952,                0.61949,                0.59406,                0.58805,                0.32533,                 1.3272,                0.75652,                0.96836,                0.00703,                0.00703,                0.00703
                     17,                 1.0606,                0.70316,                0.97679,                0.75845,                0.55446,                0.63185,                 0.3554,                 1.3043,                0.80422,                0.99896,               0.006832,               0.006832,               0.006832
                     18,                 1.0472,                0.65164,                0.98792,                0.74037,                0.56467,                0.65058,                0.32877,                 1.4109,                0.86941,                 1.0093,               0.006634,               0.006634,               0.006634
                     19,                 1.0491,                0.63425,                0.97166,                0.67476,                0.57516,                0.61364,                0.31828,                 1.3431,                0.78941,                0.97312,               0.006436,               0.006436,               0.006436
                     20,                0.98813,                0.63602,                0.96496,                0.83766,                0.62376,                0.73225,                0.38046,                 1.2277,                0.66246,                0.93423,               0.006238,               0.006238,               0.006238
                     21,                0.99222,                 0.6193,                0.95053,                0.90959,                0.61386,                0.72868,                0.40308,                 1.2262,                0.69808,                 0.9617,                0.00604,                0.00604,                0.00604
                     22,                0.99229,                0.58513,                0.93051,                0.80861,                0.50199,                0.56355,                0.31889,                 1.3137,                0.73112,                0.93919,               0.005842,               0.005842,               0.005842
                     23,                0.98684,                0.58113,                0.94078,                0.84969,                0.62376,                0.71921,                0.38598,                 1.2808,                0.70961,                0.92845,               0.005644,               0.005644,               0.005644
                     24,                0.96363,                0.59912,                0.96969,                0.79511,                0.55446,                 0.6828,                0.35826,                 1.3003,                0.73642,                0.92965,               0.005446,               0.005446,               0.005446
                     25,                0.95958,                0.59547,                0.94762,                 0.9622,                0.66337,                0.80523,                0.41543,                 1.1793,                0.62013,                0.92581,               0.005248,               0.005248,               0.005248
                     26,                0.91051,                0.58813,                0.94458,                 0.7665,                0.64356,                0.73349,                0.41083,                    1.2,                0.61032,                 0.9257,                0.00505,                0.00505,                0.00505
                     27,                0.91963,                 0.5531,                 0.9247,                0.83282,                0.72277,                0.78929,                0.42892,                 1.1723,                0.56783,                0.92418,               0.004852,               0.004852,               0.004852
                     28,                0.84742,                0.54458,                 0.9158,                0.86359,                0.58416,                0.74188,                0.41598,                 1.2275,                0.62484,                0.95894,               0.004654,               0.004654,               0.004654
                     29,                0.87187,                0.53649,                0.91958,                0.85941,                0.61386,                0.72714,                0.39506,                 1.2859,                0.61004,                0.98689,               0.004456,               0.004456,               0.004456
                     30,                0.89637,                0.53273,                0.91193,                 0.7079,                0.71986,                0.77001,                0.41162,                 1.2374,                0.57368,                0.96908,               0.004258,               0.004258,               0.004258
                     31,                0.88764,                0.52064,                0.91809,                0.78443,                0.71287,                0.78311,                 0.4412,                 1.1949,                0.58653,                0.95294,                0.00406,                0.00406,                0.00406
                     32,                0.83656,                0.52398,                  0.942,                0.84229,                0.68746,                0.80646,                0.46765,                 1.1484,                 0.5693,                0.93727,               0.003862,               0.003862,               0.003862
                     33,                0.79586,                0.49451,                0.91105,                0.79342,                0.71287,                0.78417,                0.46279,                 1.1356,                0.54938,                0.92959,               0.003664,               0.003664,               0.003664
                     34,                0.79623,                0.48152,                0.90466,                0.81705,                0.75248,                0.83253,                0.46404,                  1.109,                0.54469,                 0.9085,               0.003466,               0.003466,               0.003466
                     35,                0.77508,                0.47635,                0.90633,                0.84063,                0.71287,                0.82986,                0.44566,                  1.171,                0.55129,                0.91372,               0.003268,               0.003268,               0.003268
                     36,                0.77431,                0.47305,                0.86696,                0.89093,                0.71287,                0.84423,                0.43875,                 1.1691,                 0.5551,                0.92726,                0.00307,                0.00307,                0.00307
                     37,                0.75843,                0.45331,                0.91708,                0.82924,                0.76932,                0.84455,                0.44753,                 1.1835,                0.52703,                0.92448,               0.002872,               0.002872,               0.002872
                     38,                 0.6974,                0.44004,                 0.8838,                0.87526,                0.76421,                0.85784,                0.49363,                 1.1397,                0.56224,                0.92224,               0.002674,               0.002674,               0.002674
                     39,                0.74497,                0.44841,                0.91642,                0.82627,                0.75248,                 0.8357,                0.49586,                 1.0697,                0.51874,                0.90247,               0.002476,               0.002476,               0.002476
                     40,                0.72969,                0.45515,                0.90337,                0.89662,                0.77287,                0.86948,                0.51288,                 1.0407,                0.48682,                0.89921,               0.002278,               0.002278,               0.002278
                     41,                0.69023,                0.42809,                0.85345,                0.89858,                0.72277,                0.83471,                0.48631,                 1.0834,                0.52132,                0.88692,                0.00208,                0.00208,                0.00208
                     42,                0.68542,                0.39888,                0.85991,                0.85024,                0.67457,                0.81711,                0.49116,                 1.0706,                0.51512,                0.90117,               0.001882,               0.001882,               0.001882
                     43,                0.69721,                0.41453,                0.85287,                0.87778,                0.71109,                0.81108,                 0.4799,                 1.0769,                0.50542,                0.91517,               0.001684,               0.001684,               0.001684
                     44,                0.66247,                0.39872,                0.83877,                0.86803,                0.71287,                0.81896,                0.49117,                 1.0577,                0.50511,                 0.9212,               0.001486,               0.001486,               0.001486
                     45,                0.65468,                0.39371,                0.83732,                0.92616,                0.70297,                0.83512,                0.48788,                 1.0852,                0.51456,                 0.9147,               0.001288,               0.001288,               0.001288
                     46,                0.66797,                0.39691,                0.83925,                0.93393,                0.69983,                0.84105,                0.50068,                 1.0687,                0.49855,                0.91716,                0.00109,                0.00109,                0.00109
                     47,                0.63818,                0.36721,                0.83956,                0.95305,                0.67327,                0.84184,                0.49636,                 1.0575,                0.49551,                0.91465,               0.000892,               0.000892,               0.000892
                     48,                0.62348,                0.38396,                0.83571,                0.92856,                0.70297,                0.83921,                  0.498,                 1.0607,                0.49794,                0.91885,               0.000694,               0.000694,               0.000694
                     49,                0.63914,                0.37485,                0.84342,                0.93407,                0.70142,                0.84489,                 0.5207,                 1.0522,                0.48282,                0.91964,               0.000496,               0.000496,               0.000496
                     50,                0.62814,                0.37253,                0.83071,                0.90681,                0.71287,                0.85266,                0.53034,                  1.043,                0.47319,                0.91437,               0.000298,               0.000298,               0.000298
